ID,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Street_Name,Street_Side,County,Zipcode,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-12362,3,2016-12-06 08:17:05,2016-12-06 14:17:05,32.98744,-96.82835,32.99034,-96.8291,0.205,Dallas North Tollway N,R,Collin,75287,KADS,2016-12-06 07:52:00,50.0,,100.0,29.91,2.5,NNE,11.5,,Drizzle,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-13141,3,2016-12-13 07:36:27,2016-12-13 13:36:27,33.01285,-96.82179,33.0129,-96.83615,0.8320000000000001,President George Bush Tpke W,R,Collin,75287,KADS,2016-12-13 07:47:00,48.2,,100.0,29.99,0.2,NE,6.9,,Fog,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-13393,2,2016-12-15 13:33:35,2016-12-15 19:33:35,33.0032,-96.82927,32.99284,-96.82941,0.716,Dallas North Tollway N,R,Collin,75287,KADS,2016-12-15 13:47:00,39.2,,100.0,30.32,4.0,Calm,,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-15646,2,2017-01-10 04:25:05,2017-01-10 10:25:05,32.992162,-96.8294,32.987790000000004,-96.82851,0.306,Dallas North Tollway S,R,Collin,75287,KADS,2017-01-10 04:35:00,62.1,,84.0,29.89,10.0,South,13.8,,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Night
A-15659,2,2017-01-10 06:27:21,2017-01-10 12:27:21,33.01308,-96.82627,33.01041,-96.82953,0.264,President George Bush Tpke W,R,Collin,75287,KADS,2017-01-10 05:47:00,60.8,,88.0,29.92,13.0,South,13.8,,Scattered Clouds,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Day
A-15660,2,2017-01-10 06:27:21,2017-01-10 12:27:21,33.01285,-96.82179,33.01308,-96.82627,0.26,President George Bush Tpke W,R,Collin,75287,KADS,2017-01-10 05:47:00,60.8,,88.0,29.92,13.0,South,13.8,,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day
A-15664,3,2017-01-10 06:53:08,2017-01-10 12:53:08,33.01274,-96.80242,33.01285,-96.82179,1.122,President George Bush Tpke W,R,Collin,75252,KADS,2017-01-10 05:47:00,60.8,,88.0,29.92,13.0,South,13.8,,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-15814,2,2017-01-11 05:35:31,2017-01-11 11:35:31,32.99863,-96.76774,33.000777,-96.76772,0.148,Coit Rd,R,Collin,75252,KADS,2017-01-11 05:53:00,60.8,,94.0,29.89,13.0,SSE,13.8,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-15884,2,2017-01-11 11:59:20,2017-01-11 17:59:20,33.01285,-96.82179,33.01308,-96.82627,0.26,President George Bush Tpke W,R,Collin,75287,KADS,2017-01-11 11:47:00,71.6,,69.0,29.91,13.0,South,19.6,,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-15885,2,2017-01-11 11:59:20,2017-01-11 17:59:20,33.01308,-96.82627,33.014959999999995,-96.82873,0.193,President George Bush Tpke W,R,Collin,75287,KADS,2017-01-11 11:47:00,71.6,,69.0,29.91,13.0,South,19.6,,Scattered Clouds,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
